CandidateID,PositionID,JobTitle,ApplicationDate,Source,Stage,DateatStage
CAND-1726,,"""""""""""""""QC""""""""""",  2026-01-14  ,"""""""Indeed""""""", NULL ,
    cand-1727   ,   pos-39  , NULL ,"""2026--01--14""","""""""""""Job""""Fair""""""""""""""","""""""""""interview""""2""""""",2026-01-28
CAND-1728, POS-39 , QC   ,2026-01-14,   LINKEDIN   , Offer   ,"""""""""""2026--02--01"""""""
  CAND-1728  ,"""POS--39""", QC  ,2026-01-14, LinkedIn   ,"""OFFER""","""""""""""2026--02--01"""""""
   CAND-1730   , POS-40   ,MARKETING,2026-01-09, company website , applied ,  2026-01-09  
 CAND-1731   ,  POS-40 ,, 2026-01-09  ,N/A,Screened,2026-01-14
  CAND-1732 ,"""""""""""pos--40""""""",Marketing, 2026-01-09  ,   Indeed   ,"""""""""""Interview""""1""""""",  2026-01-19  
"""CAND--1733""",  POS-40   ,    Marketing    ,   2026-01-09  ,  Employee Referral , Interview 2   ,"""""""""""2026--01--25"""""""
   CAND-1734 ,POS-40,   marketing  ,"""""""""""""""2026--01--09""""""""""""""",JOB FAIR,   Offer   , NULL 
  ,   POS-40 ,, 2026-01-09  ,Job Fair,"""""""Hired""""""""""", 2026-02-02   
  CAND-1736   ,"""""""""""""""POS--40""""""",  ,  2026-01-13  ,   Company Website  ,  Applied , 2026-01-13 
#N/A,   POS-40  , NULL ,"""""""2026--01--13""""""""""""""","""""""""""""""LinkedIn""""""""""",  Rejected ,   2026-01-20  
  CAND-1738   ,  ,Marketing,  ,  Company Website  , Applied  ,  2026-01-24   
   CAND-1738 ,POS-40,"""Marketing""",   2026-01-24 , Company Website  ,   Applied , 2026-01-24 
CAND-1739,"""POS--40""",   Marketing  ,   2026-01-24   ,Company Website, Screened  ,   2026-01-30   
"""""""""""""""CAND--1740""""""",  POS-40  , Marketing ,  2026-01-24 ,  employee referral   ,   REJECTED ,   2026-02-03 
    CAND-1742  ,  POS-40  ,Marketing, 2026-01-28 ,Employee Referral,  Screened  ,2026-02-02
"""""""""""cand--1743""""""""""""""",POS-40,"""""""Marketing""""""""""",  2026-01-28  ,  Job Fair  ,Interview 1,  2026-02-07    
  CAND-1744  ,"""""""""""""""POS--40""""""""""""""","""""""""""""""Marketing""""""""""""""",  2026-01-28  ,  LINKEDIN   ,Interview 2,2026-02-12
 CAND-1745 ,POS-40,  Marketing ,2026-01-28,   Job Fair   ,  ,"""2026--02--14"""
"""CAND--1745""",   POS-40  ,  marketing  ,"""2026--01--28""","""Job""""Fair""","""""""""""""""Offer""""""",  2026-02-14   
"""""""""""CAND--1747""""""""""",POS-40,  Marketing   ,"""""""""""2026--01--09""""""""""""""",   Employee Referral    ,N/A,"""""""2026--01--09"""""""""""
  CAND-1748    , POS-40   ,"""""""""""marketing""""""","""2026--01--09""",   LinkedIn   ,Screened,
    CAND-1749   ,POS-40,#N/A,"""""""""""2026--01--09""""""",   Job Fair  , INTERVIEW 1 ,  2026-01-21  
  CAND-1750 ,POS-40,  Marketing   ,2026-01-09,"""""""Company""""Website""""""""""""""","""""""""""Rejected""""""""""",   2026-01-24   
 NULL ,  POS-40   ,N/A,   2026-01-08   ,   Employee Referral  , rejected ,"""""""""""""""2026--01--08"""""""""""
   CAND-1752   ,POS-40,   Marketing , 2026-01-31  , COMPANY WEBSITE ,   APPLIED , 2026-01-31 
CAND-1753,POS-40,marketing,"""""""""""""""2026--01--31""""""""""""""",  Employee Referral ,Screened,"""""""2026--02--04"""""""""""""""
CAND-1754, POS-40 ,N/A,2026-01-31,"""""""""""""""Indeed""""""""""""""",Interview 1,2026-02-10
"""""""CAND--1754""""""""""""""",  POS-40   ,  Marketing  ,   2026-01-31 ,"""""""""""""""Indeed""""""""""",  INTERVIEW 1 ,2026-02-10
 CAND-1755   ,   POS-40   ,MARKETING,  2026-01-31  , EMPLOYEE REFERRAL ,   Interview 2 , 2026-02-13 
"""""""CAND--1757""""""",  POS-40   , marketing  ,   2026-01-31   ,"""""""Company""""Website""""""""""""""",  Hired  ,   2026-02-22 
   cand-1758  ,"""""""""""""""POS--40""""""""""""""""""",  marketing  ,"""2025--12--30""",Company Website,Applied,2025-12-30
  CAND-1759 ,  POS-40 ,#N/A, NULL , LinkedIn   ,  Screened   ,  2026-01-03   
  CAND-1760   ,POS-40, marketing ,2025-12-30,  LINKEDIN   , Interview 1 ,   2026-01-08 
   CAND-1761  ,   pos-40    ,   Marketing  ,  2025-12-30  ,   linkedin   ,"""""""""""REJECTED""""""""""",2026-01-15
#N/A, pos-40  ,"""""""""""""""""""Marketing""""""""""",#N/A, COMPANY WEBSITE ,applied,"""2026--01--12"""
 NULL , POS-40   ,  ,  2026-01-12  ,Company Website, SCREENED   ,    2026-01-19   
   CAND-1764   ,   POS-40 ,"""""""Marketing""""""",2026-01-12,  Employee Referral    , Interview 1  , NULL 
 CAND-1765  ,  POS-40  ,#N/A, 2026-01-12   ,    Indeed  ,Interview 2,"""""""""""""""2026--01--26"""""""
  CAND-1766   ,POS-40,  ,2026-01-12, LinkedIn ,offer,"""2026--02--02"""
cand-1767,POS-40,marketing,   2026-01-12   , NULL ,  Hired   ,   2026-02-08   
  CAND-1768  ,  POS-40    ,   Marketing  ,, NULL ,   applied ,"""2025--12--28"""
 CAND-1769 ,    pos-40    , Marketing ,2025-12-28,  Job Fair   ,"""Screened""",   2026-01-03 
  CAND-1770    ,pos-40,Marketing,,Indeed,"""""""""""Rejected""""""""""", 2026-01-08 
"""CAND--1771""",POS-40,   marketing  ,"""""""""""""""2026--02--07""""""""""""""""""",,rejected,2026-02-07
"""""""CAND--1772""""""""""""""",POS-40,  , 2026-01-20   , JOB FAIR  ,Applied,   2026-01-20  
"""""""""""""""CAND--1773""""""""""""""",   POS-40 ,"""""""""""Marketing""""""""""""""",2026-01-20,Indeed,,2026-01-22
CAND-1774,"""""""""""POS--40""""""""""""""",   marketing  ,2026-01-20,   Company Website , Interview 1   , 2026-01-27  
"""""""""""CAND--1775""""""",   POS-40   ,   Marketing  ,2026-01-20, Employee Referral  ,"""Interview""""2""","""""""""""2026--02--01"""""""""""
 CAND-1776   ,  POS-40  ,   Marketing  ,   2026-01-20  ,"""""""""""""""Indeed""""""",,"""2026--02--07"""
  CAND-1777  ,"""""""""""""""POS--40""""""","""""""Marketing""""""", 2026-01-20  ,  Indeed   ,   HIRED ,  2026-02-10  
CAND-1777,   POS-40 ,   marketing ,2026-01-20,INDEED,   Hired   , 2026-02-10 
 CAND-1779   , pos-40   ,   Marketing   ,  2026-01-11   ,  Employee Referral   ,Rejected, 2026-01-13 
CAND-1780, POS-40   ,Marketing,#N/A,  Job Fair  , NULL ,  2026-01-26  
  CAND-1781   ,,"""Marketing""",   2026-01-26 ,LinkedIn,  Screened  ,   2026-02-02  
 CAND-1782   ,  pos-40   , Marketing  ,  ,  Indeed ,"""""""Interview""""1""""""",   2026-02-06    
   CAND-1783   ,"""POS--40""",MARKETING,2026-01-26,  Company Website ,"""""""REJECTED""""""",  2026-02-12   
  CAND-1784 , POS-40 ,   Marketing  ,   2026-01-04  ,   Job Fair ,  APPLIED    ,   2026-01-04  
 CAND-1785   ,   POS-40  ,  Marketing  ,   2026-01-04  ,LinkedIn,   Screened  ,2026-01-11
 NULL , POS-40   , Marketing   , 2026-01-04  ,   EMPLOYEE REFERRAL   ,  REJECTED   , 2026-01-17   
   CAND-1787    , POS-40 , MARKETING  ,"""""""2026--01--04""""""", EMPLOYEE REFERRAL  ,   Applied   ,"""""""""""""""2026--01--04"""""""
 CAND-1788  ,  POS-40  ,"""""""""""""""marketing""""""""""""""",   2026-01-04  ,N/A,   SCREENED  ,2026-01-10
"""""""""""""""CAND--1789""""""""""""""",POS-40, Marketing   ,"""""""2026--01--04""""""""""""""", LinkedIn ,INTERVIEW 1,2026-01-17
CAND-1790,"""""""""""""""POS--40""""""",Marketing, 2026-01-04  ,N/A,Interview 2,   2026-01-23   
"""""""CAND--1791""""""""""""""","""""""""""POS--40""""""""""", marketing ,  2026-01-04   ,Job Fair, Rejected   , 2026-01-29 
  CAND-1792   ,#N/A,  MARKETING   ,N/A,  Company Website  ,   Rejected   ,  
   CAND-1793   , POS-40   ,"""""""""""Marketing""""""""""", 2026-01-03   ,Company Website,"""""""Applied""""""""""",2026-01-03
 CAND-1794 ,"""POS--40""", Marketing , 2026-01-03 ,Job Fair, Rejected ,  2026-01-05   
cand-1794,  POS-40  ,   Marketing  ,2026-01-03,"""Job""""Fair""",   REJECTED  ,  2026-01-05  
  , pos-40 ,  Marketing  ,, Job Fair  ,   Screened  ,"""2026--02--01"""
   CAND-1797   ,  POS-40  , MARKETING ,2026-01-29,"""LinkedIn""","""""""""""INTERVIEW""""1""""""""""""""", NULL 
cand-1798, NULL ,Marketing,   2026-01-29 ,Employee Referral,  ,
cand-1799,POS-41, NULL , 2026-01-28 ,   indeed   ,   Rejected   ,2026-01-28
"""""""""""cand--1799""""""""""""""","""POS--41""",  QC ,  2026-01-28 ,INDEED,  rejected   ,2026-01-28
CAND-1801,"""""""""""""""POS--41""""""","""""""""""""""""""QC""""""""""",N/A,"""""""Job""""Fair""""""""""",  ,#N/A
#N/A,   POS-41  ,QC,  2025-12-20  ,   COMPANY WEBSITE  ,  rejected , 2025-12-20  
  CAND-1803   ,  POS-41 ,   QC  ,"""""""2025--12--08""""""""""""""",Job Fair,  Applied   ,  2025-12-08    
"""""""""""CAND--1804""""""",N/A,QC,2025-12-08,Employee Referral,"""""""""""rejected""""""",  2025-12-11   
"""""""cand--1805""""""""""", POS-41 ,  QC  ,2025-12-17, Job Fair ,Applied,   2025-12-17   
CAND-1806,  POS-41   ,  QC   ,"""""""2025--12--17""""""",,Screened, 2025-12-19  
  CAND-1807    ,   POS-41   ,    QC  ,  2025-12-17   ,  , Rejected ,  2025-12-24  
#N/A,"""""""pos--41""""""""""",    QC    ,  2025-12-15 ,"""""""Job""""Fair""""""""""", NULL ,2025-12-15
"""""""""""""""CAND--1809""""""""""""""",  POS-41  ,  QC   ,N/A,   Company Website  ,  Rejected   ,"""""""2025--12--28"""""""""""
   cand-1810  ,   POS-41 ,"""""""""""QC""""""""""""""",   2026-01-28  ,"""""""Employee""""Referral""""""",Applied,2026-01-28
   CAND-1811 ,  POS-41  ,  QC  ,2026-01-28,  JOB FAIR , Screened  ,  
  CAND-1812    ,"""""""""""pos--41""""""""""""""",  qc  ,2026-01-28,Job Fair, INTERVIEW 1   , 2026-02-02  
  CAND-1813   ,  POS-41  ,QC,#N/A,Company Website,INTERVIEW 2, 2026-02-06   
"""CAND--1814""", NULL ,"""""""""""""""QC""""""", 2026-01-28  ,  JOB FAIR  ,    Offer    , NULL 
"""""""""""""""CAND--1815""""""",   POS-41   ,QC,2026-01-28,employee referral,"""""""""""hired""""""""""""""", 2026-02-15   
CAND-1816,POS-41,"""""""""""""""""""qc""""""""""",  2026-01-17   ,   Employee Referral ,  APPLIED  , 2026-01-17 
  CAND-1817    ,"""""""""""POS--41""""""""""",qc,"""""""""""2026--01--17""""""""""","""LinkedIn""", Screened ,"""""""""""""""2026--01--24"""""""""""""""
  CAND-1818  ,#N/A,"""QC""",2026-01-17,Company Website,    INTERVIEW 1  ,   2026-01-29  
  CAND-1819   , NULL , qc   , 2026-01-17 , Indeed ,  , NULL 
   cand-1820 ,N/A,"""""""""""""""QC""""""",    2026-01-17   ,   Job Fair  ,"""""""""""""""Rejected""""""""""""""", 2026-02-07  
"""""""""""CAND--1821""""""",pos-41,QC,"""""""2025--12--16""""""",Indeed,  Rejected ,2025-12-16
   cand-1822 ,,   QC   , 2025-11-11  ,"""""""""""""""LinkedIn""""""""""""""",  Applied  ,"""2025--11--11"""
    CAND-1823    , POS-41   ,  QC  ,   2025-11-11  ,N/A,   Rejected  , 2025-11-18   
CAND-1823,  POS-41  ,  QC   ,  2025-11-11  ,  LinkedIn  ,   Rejected  ,  2025-11-18 
  CAND-1825   , POS-41 ,QC,2026-01-27,   LinkedIn  ,  APPLIED   ,  2026-01-27 
"""""""""""""""CAND--1826""""""",   POS-41   ,QC,2026-01-27,  Employee Referral ,   Rejected  ,2026-01-30
 cand-1826  ,POS-41, QC ,2026-01-27, EMPLOYEE REFERRAL  ,  REJECTED ,   2026-01-30   
"""""""""""CAND--1828""""""""""""""""""",  POS-41   ,"""""""""""""""""""QC""""""""""",   2026-01-03   , LINKEDIN   ,"""""""""""""""Rejected""""""",  2026-01-05  
"""""""""""""""CAND--1828""""""""""""""","""""""""""POS--41""""""","""QC""",2026-01-03,  LINKEDIN ,   REJECTED ,2026-01-05
 cand-1829 , POS-41 ,   QC  ,2025-12-10, Employee Referral   ,   APPLIED  ,2025-12-10
  CAND-1831 ,  POS-41    ,    qc    ,2025-12-10,company website, INTERVIEW 1 ,2025-12-21
"""""""""""""""CAND--1832""""""""""""""",  POS-41  , QC  ,2025-12-10,   JOB FAIR ,REJECTED, NULL 
"""""""cand--1833""""""""""""""",  pos-41  , QC  ,    2025-12-06   ,"""""""""""Job""""Fair""""""", Applied  ,N/A
"""""""""""""""CAND--1834""""""""""","""""""POS--41""""""""""""""","""""""""""""""""""qc""""""""""",2025-12-06, indeed  ,  , 2025-12-11   
CAND-1835,#N/A,QC,    2025-12-10    ,   Job Fair  , Applied  ,2025-12-10
CAND-1836,POS-41,  qc  , 2025-12-10 ,  LINKEDIN   , Screened  , 2025-12-16 
   CAND-1837   ,  POS-41  , qc   ,N/A,  Job Fair   ,   rejected ,   2025-12-23  
   CAND-1838  ,POS-41,"""QC""",2026-01-02,   LINKEDIN  ,"""""""""""""""REJECTED""""""""""""""""""", 2026-01-02 
  CAND-1839 ,  POS-42  ,Research,   2026-01-13 ,   LinkedIn  , Applied   , NULL 
    CAND-1840   ,   POS-42   ,Research,"""""""""""""""2026--01--13""""""""""""""", company website  , Screened   ,2026-01-15
  cand-1841   ,"""""""""""""""""""POS--42""""""""""","""Research""",2026-01-13, Employee Referral  , Interview 1   ,  2026-01-20  
CAND-1841,   POS-42 ,   Research   ,2026-01-13,"""Employee""""Referral""", Interview 1 ,2026-01-20
 CAND-1842   ,  POS-42 ,   Research  ,   2026-01-13 ,   INDEED   , Rejected   ,2026-01-22
"""CAND--1843""",  POS-42   ,   Research ,2026-01-08,Employee Referral,Applied,  2026-01-08  
  cand-1845 ,  POS-42 ,  Research ,2026-01-08,  Indeed  ,"""""""""""""""Rejected""""""""""""""","""2026--01--17"""
 CAND-1845   , POS-42 ,  Research ,  2026-01-08  , Indeed ,  rejected   ,   2026-01-17  
cand-1847, POS-42 ,Research, 2026-01-21 ,"""""""""""""""Company""""Website""""""""""","""""""""""Screened""""""","""""""""""2026--01--23"""""""
  CAND-1848   ,  POS-42 ,Research,   2026-01-21   ,"""""""job""""fair""""""","""""""Interview""""1""""""", 2026-01-28 
  CAND-1848  ,   POS-42 ,  research  ,   2026-01-21  ,  Job Fair ,   Interview 1  ,2026-01-28
CAND-1850, POS-42 ,  ,  2026-01-21   ,   company website   ,"""Rejected""",   2026-02-09 
  CAND-1851  , POS-42 ,   RESEARCH  ,    2026-02-07    ,Employee Referral, Applied , 2026-02-07  
  cand-1852   ,, Research ,,Job Fair,screened,  2026-02-11   
 cand-1853   ,  pos-42 ,   Research  ,  2026-02-07 ,"""""""""""LinkedIn""""""","""""""""""INTERVIEW""""1""""""""""",  2026-02-13   
  CAND-1854   ,   POS-42 ,    research  ,   2026-02-07   ,   Indeed   ,   Interview 2   ,  2026-02-15 
   CAND-1855  ,"""""""""""""""POS--42""""""""""",  Research   ,"""""""2026--02--07""""""""""",   INDEED   ,#N/A,"""""""""""""""2026--02--19"""""""
N/A,"""POS--42""",  research ,2026-01-31,"""JOB""""FAIR""",  APPLIED , 2026-01-31   
 CAND-1857 ,"""""""pos--42""""""""""""""",   Research   ,   2026-01-31  ,  Job Fair , Screened ,  2026-02-05   
CAND-1858, POS-42 ,Research,2026-01-31,  JOB FAIR  ,Interview 1,"""""""""""2026--02--08"""""""
"""CAND--1859""",   pos-42   ,"""""""Research""""""""""","""2026--01--31""", LinkedIn   ,#N/A,2026-02-12
 CAND-1860 ,"""""""""""""""pos--42""""""""""""""", Research , 2026-01-23   ,"""""""""""""""Indeed""""""""""","""""""""""Applied""""""",   2026-01-23 
   CAND-1861   ,  POS-42 ,  , 2026-01-23 ,"""""""""""""""Employee""""Referral""""""""""","""""""""""""""Screened""""""""""", 2026-01-26  
   CAND-1862 , POS-42  ,   research   ,   2026-01-23  , Employee Referral , Interview 1  ,2026-02-01
CAND-1863,  ,Research,  2026-01-23  , NULL , interview 2   ,2026-02-03
   cand-1864    ,   POS-42  ,"""RESEARCH""",2026-01-23,  Company Website    ,  Rejected ,"""""""""""2026--02--05"""""""""""""""
CAND-1865,  POS-42 ,Research,2026-01-10,Company Website, Applied ,"""""""""""2026--01--10"""""""""""""""
   cand-1866  , POS-42  , Research , NULL ,,#N/A,   2026-01-14   
  CAND-1867   ,  POS-42  , Research   ,    2026-01-10   ,   Job Fair   ,"""""""""""Interview""""1""""""""""""""",  
"""""""""""cand--1868""""""""""""""",  POS-42   , Research ,"""""""""""2026--01--10""""""",   Company Website   ,   Rejected   , 2026-01-20  
"""""""CAND--1869""""""""""""""",   POS-42  ,    Research  ,"""2026--02--06""","""""""""""""""LinkedIn""""""""""""""",  Applied   , NULL 
  cand-1870  ,  ,  Research ,  2026-02-06 , Employee Referral ,Rejected,"""""""""""""""2026--02--11"""""""""""""""
   CAND-1871   ,POS-42, Research   , 2026-01-22  ,  Employee Referral  ,  ,  2026-01-22   
"""""""""""""""CAND--1871""""""""""""""", POS-42   ,"""""""""""RESEARCH""""""""""",   2026-01-22  ,Employee Referral,  Applied   ,"""""""2026--01--22"""""""""""""""
   cand-1873   , POS-42 , Research  ,,   Company Website  ,interview 1,2026-01-30
  cand-1874  ,"""""""""""POS--42""""""""""",   Research , 2026-01-22 , linkedin ,   interview 2    ,2026-02-03
CAND-1875,  POS-42  ,"""""""""""Research""""""""""",   2026-01-22 ,INDEED,"""Offer""","""""""2026--02--07"""""""""""
CAND-1876, pos-42  ,research,2026-01-22,LinkedIn,"""""""""""""""Hired""""""""""""""", 2026-02-12   
  CAND-1877  , POS-42 ,   Research  ,  2026-01-01   ,Indeed,"""""""""""""""Applied""""""",   2026-01-01   
"""""""""""""""CAND--1878""""""""""""""",#N/A,  Research ,"""""""""""""""2026--01--01""""""""""""""",company website, Screened  ,"""""""""""""""2026--01--04"""""""
 cand-1879  ,POS-42,   Research  ,   2026-01-01  ,"""""""company""""website""""""", NULL , 2026-01-10 
 NULL ,  POS-42   ,   RESEARCH ,  2026-01-27 ,"""""""LinkedIn""""""","""Applied""",   2026-01-27   
"""""""""""CAND--1881""""""""""""""",pos-42,"""""""""""RESEARCH""""""""""",   2026-01-27  , Employee Referral ,  Rejected   ,2026-01-31
N/A,pos-43,   qc  ,   2025-12-29  ,   Company Website ,"""""""""""""""""""rejected""""""""""""""",2025-12-29
 CAND-1883 ,POS-43,  ,2026-01-20,N/A,  Applied ,N/A
"""""""""""""""CAND--1884""""""""""", POS-43 , QC  ,2026-01-20,#N/A,Rejected,2026-01-25
   CAND-1885  ,pos-43,,2025-11-23,    Indeed    ,   REJECTED    ,N/A
CAND-1886,   POS-43  ,,"""""""""""""""2026--02--01""""""",  LinkedIn   ,,2026-02-01
CAND-1887,   POS-43   ,QC,  ,"""""""""""""""""""Company""""Website""""""""""""""","""""""""""""""Screened""""""""""""""",2026-02-08
   CAND-1887 , POS-43  ,  QC  ,2026-02-01,   Company Website  ,"""""""""""""""Screened""""""""""",  2026-02-08  
   cand-1888   ,POS-43,  QC  ,"""""""2026--02--01""""""""""""""",  Employee Referral  ,  Interview 1   ,2026-02-13
CAND-1890,   pos-43   ,"""""""QC""""""", 2026-02-01 ,  Indeed  ,Offer,"""""""""""""""2026--02--21"""""""""""
N/A,"""""""POS--43""""""",  QC   ,  2026-02-01  ,  Job Fair   ,  HIRED  , 2026-02-23 
  ,  POS-43   ,QC,"""2026--02--06""",,  Applied , 2026-02-06   
CAND-1893,"""POS--43""",QC,#N/A,  Job Fair ,    Screened  ,  2026-02-11  
"""""""""""CAND--1893""""""""""","""""""""""""""POS--43""""""""""",   qc ,2026-02-06,"""job""""fair""","""""""""""screened""""""","""""""""""2026--02--11"""""""""""""""
"""""""""""""""cand--1895""""""", POS-43 ,QC,   2026-02-06   ,  ,"""""""""""Interview""""2""""""""""""""",2026-02-22
cand-1896,POS-43,"""""""""""QC""""""""""""""""""", 2026-02-06   ,  EMPLOYEE REFERRAL  ,Rejected,   2026-02-28  
   CAND-1897  ,  pos-43  ,  qc   ,2025-12-31,  employee referral ,   Applied ,"""""""2025--12--31"""""""""""""""
 CAND-1897  ,   POS-43  ,   QC ,"""""""""""2025--12--31""""""""""","""""""""""""""Employee""""Referral""""""""""""""",  Applied ,"""""""""""2025--12--31"""""""""""
"""CAND--1898""",POS-43,qc,   2025-12-31   ,"""""""JOB""""FAIR""""""""""",   Rejected , 2026-01-05  
   CAND-1900 , POS-43   ,"""""""""""""""QC""""""""""""""",2025-11-21,   Company Website  ,"""""""""""""""Screened""""""""""","""2025--11--25"""
"""""""""""""""CAND--1901""""""""""",POS-43, QC   ,"""""""""""2025--11--21""""""""""""""",   employee referral   ,   Interview 1   , 2025-11-27  
 NULL ,"""""""POS--43""""""""""""""",  QC   ,   2025-11-21 ,Job Fair,   Interview 2   ,    2025-12-04   
 CAND-1902   ,"""""""""""""""POS--43""""""","""""""""""QC""""""""""",   2025-11-21  ,JOB FAIR, Interview 2 , 2025-12-04 
,"""""""POS--43""""""",  QC ,  2025-11-21   ,  LinkedIn    ,"""""""hired""""""",  2025-12-15 
"""""""""""CAND--1905""""""""""""""",    POS-43  ,   QC  ,2026-02-05,  company website   ,Applied, 2026-02-05   
  CAND-1906   ,"""POS--43""", QC ,2026-02-05,  job fair  ,  Screened ,   2026-02-10  
cand-1907,  ,qc,  2026-02-05   , LinkedIn   ,rejected, 2026-02-14 
  CAND-1907  ,"""""""""""""""POS--43""""""",QC, 2026-02-05 ,LinkedIn,Rejected,"""""""""""2026--02--14"""""""
 CAND-1909 ,"""""""""""POS--43""""""","""""""""""QC""""""""""""""","""2025--12--03""",LinkedIn, Screened  ,   2025-12-08  
"""""""CAND--1910""""""", POS-43   ,QC,"""2025--12--03""", LinkedIn  , INTERVIEW 1   , NULL 
 cand-1911  ,POS-43, QC ,  2025-12-03 ,  employee referral  ,Interview 2,"""""""""""2025--12--15"""""""
CAND-1912,   pos-43  ,  qc  ,  2025-12-03 , Job Fair   ,  Offer  ,
 CAND-1912  , pos-43   ,QC,2025-12-03,"""Job""""Fair""",  OFFER   , 2025-12-19   
   CAND-1913  ,   pos-43 ,QC,  2025-12-03 , Company Website   ,"""hired""", 2025-12-23  
 cand-1915 ,"""""""POS--43""""""""""""""",QC,#N/A, NULL ,  SCREENED   ,#N/A
, POS-43  ,   qc    , 2025-12-08   ,    LinkedIn   ,    Interview 1   ,2025-12-19
"""""""""""""""CAND--1917""""""",POS-43,QC,  2025-12-08   ,  job fair , Rejected  , NULL 
cand-1918,#N/A, NULL , 2026-01-08   ,Company Website, REJECTED   ,   2026-01-08 
   CAND-1919   ,  POS-44  ,Account,  2025-12-05   ,"""""""job""""fair""""""",   rejected   ,    2025-12-05    
CAND-1920,"""POS--44""",#N/A,"""""""""""2025--12--28""""""",, Applied   , 2025-12-28 
CAND-1921, POS-44  , ACCOUNT   ,   2025-12-28 ,,rejected,   2026-01-01  
"""""""""""CAND--1922""""""",   pos-44 ,  Account ,"""""""""""2025--12--26""""""""""","""""""""""""""Employee""""Referral""""""""""""""""""", Rejected , NULL 
CAND-1923,   POS-44 ,  Account  ,"""""""""""2025--12--30""""""""""",   Job Fair  ,Rejected,  2025-12-30  
CAND-1924,  POS-44 ,    ACCOUNT   ,   2026-02-03  ,"""""""""""""""indeed""""""""""",Applied,2026-02-03
#N/A, pos-44 ,#N/A,"""""""""""2026--02--03""""""""""", COMPANY WEBSITE , Screened ,2026-02-09
   CAND-1925  , POS-44   ,   ACCOUNT   ,   2026-02-03   , Company Website  ,"""""""""""""""Screened""""""""""""""",   2026-02-09  
 cand-1926   ,"""""""""""POS--44""""""",Account,"""""""""""""""2026--02--03""""""",   Company Website  ,  Rejected ,2026-02-15
  CAND-1928   ,N/A,  account   ,  2025-11-26    ,Company Website,"""""""""""""""Screened""""""""""""""", NULL 
 CAND-1929  ,POS-44,ACCOUNT, NULL ,#N/A,Rejected,  2025-12-05   
"""""""""""""""CAND--1930""""""""""",    pos-44    , ACCOUNT ,  2025-12-01    ,Indeed,"""""""""""Rejected""""""""""","""""""2025--12--01"""""""
  CAND-1931  ,  pos-44   ,ACCOUNT,  2025-12-06  ,   job fair  ,  , 2025-12-06   
  , POS-44 ,Account,   2025-12-06   , Indeed , Screened   ,   2025-12-13  
   CAND-1933  ,,  Account  ,"""""""""""2025--12--06""""""", NULL , interview 1   , 2025-12-18   
"""CAND--1933""",   POS-44 ,Account,"""""""2025--12--06""""""""""",  LINKEDIN  ,Interview 1,   2025-12-18  
  CAND-1935   ,   POS-44  , account   ,  2025-12-06   ,   Indeed ,    REJECTED   ,"""""""2025--12--29"""""""""""
CAND-1936,"""""""""""""""pos--44""""""""""",   Account   ,"""""""""""""""2025--12--11""""""""""", Job Fair  ,Applied,"""""""""""2025--12--11"""""""
 CAND-1937   ,"""""""POS--44""""""",#N/A,"""2025--12--11""",JOB FAIR,Rejected,"""""""""""""""""""2025--12--15"""""""""""""""""""
   CAND-1937   , POS-44   ,  Account  ,"""2025--12--11""", Job Fair   ,"""""""""""Rejected""""""",  2025-12-15   
CAND-1939,#N/A, Account , 2025-12-05   ,Job Fair,rejected,   2025-12-07  
 cand-1940   , POS-44 ,  Account ,  2025-12-02 ,,  ,  
  CAND-1941  ,   POS-44   ,  Account   ,2025-12-02, indeed  ,  Rejected  ,   2025-12-05   
 CAND-1942 ,   POS-44 ,,"""""""2026--02--04""""""",,"""""""REJECTED""""""""""""""",2026-02-04
  CAND-1943  , NULL ,  Account   , 2025-12-14   ,"""Company""""Website""", REJECTED   ,2025-12-14
"""""""""""CAND--1944""""""",  POS-44  ,   Account  , 2025-11-25   ,   Indeed  ,"""""""""""applied""""""""""",  2025-11-25  
CAND-1945,  POS-44   ,N/A,"""2025--11--25""",   Employee Referral   ,  Screened  ,  2025-11-27 
"""""""CAND--1946""""""""""""""",   POS-44 ,"""""""Account""""""","""""""""""""""2025--11--25""""""""""""""","""""""Job""""Fair""""""",Interview 1, NULL 
cand-1947,  POS-44  ,"""Account""",  2025-11-25   ,  Company Website  , INTERVIEW 2 , 2025-12-05   
 CAND-1948  ,"""""""""""""""POS--44""""""""""""""",,  2025-11-25    ,   indeed   ,offer,"""""""""""2025--12--11"""""""""""
"""""""""""""""CAND--1948""""""",   pos-44 ,"""""""""""Account""""""""""""""", 2025-11-25   ,  Indeed   ,  offer ,2025-12-11
 cand-1949   ,POS-44, account ,   2025-11-25  ,"""Employee""""Referral""", Hired ,"""""""""""""""2025--12--15"""""""
  CAND-1950  ,POS-44,  ACCOUNT  ,   2026-02-01   ,  Indeed  ,   Rejected , 2026-02-01 
,  POS-45 ,    Operations  ,    2025-12-28    ,"""Employee""""Referral""", Applied   ,   2025-12-28   
  cand-1953   ,"""""""""""POS--45""""""""""",  Operations ,  2025-12-28  ,N/A,Screened,2026-01-01
  CAND-1953 ,   pos-45   ,   Operations  ,2025-12-28,LINKEDIN,   SCREENED  ,  2026-01-01 
CAND-1955,POS-45,   Operations , 2025-12-28   ,"""""""""""employee""""referral""""""""""""""","""INTERVIEW""""2""", NULL 
  cand-1956    ,#N/A, Operations   ,  ,   Indeed  ,Offer, 2026-01-17 
